scenario_id,base_converged,base_vm_min_pu,final_vm_min_pu,base_vm_max_pu,final_vm_max_pu,base_n_undervoltage,final_n_undervoltage,base_n_overvoltage,final_n_overvoltage,base_n_overloaded_lines,final_n_overloaded_lines,base_n_overloaded_trafos,final_n_overloaded_trafos,base_line_loading_max_pct,final_line_loading_max_pct,base_trafo_loading_max_pct,final_trafo_loading_max_pct,base_voltage_deficit_sum_pu,final_voltage_deficit_sum_pu,base_voltage_deficit_max_pu,final_voltage_deficit_max_pu,base_voltage_deficit_sq_sum_pu,final_voltage_deficit_sq_sum_pu,improved_vm_min,reduced_undervoltage_count,reduced_voltage_deficit_sum,accepted_action_count,termination_reason,taboo_event_count,error
fed_combined_load_1p25_line_101_MG1,True,0.9272108217802723,0.9505934662054681,1.05,1.0500000000000003,8,0,0,0,0,0,0,0,4.475087324056163,4.475087324056158,6.914112267912518,6.8952846050575385,0.0908455807533064,0.0,0.0227891782197277,0.0,0.001468780168432161,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_127_MG3,True,0.9266204258906112,0.9501203904669266,1.0500000000000003,1.0500000000000005,9,0,0,0,0,0,0,0,4.47508732405616,4.475087324056156,6.7686877170812645,6.7482014820478495,0.0907078759195209,0.0,0.023379574109388734,0.0,0.0014934949368755114,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_128_MG3,True,0.9259926081157955,0.9501478224799021,1.05,1.05,9,0,0,0,0,0,0,0,4.4750873240561555,4.475087324056155,6.848109058464963,6.827190831387954,0.09294565937837673,0.0,0.02400739188420442,0.0,0.0015705480776074944,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_129_MG3,True,0.9265939824758097,0.9501239506833764,1.0500000000000003,1.0500000000000003,9,0,0,0,0,0,0,0,4.475087324056158,4.475087324056156,6.77685791077232,6.756319775638888,0.09081287697579576,0.0,0.023406017524190248,0.0,0.0014969109257956764,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_135_MG3,True,0.9251901911597569,0.9501001596572719,1.0500000000000003,1.05,9,0,0,0,0,0,0,0,4.475087324056155,4.475087324056159,6.755638281437913,6.734609097776373,0.09504010823791653,0.0,0.024809808840243086,0.0,0.0016534735554249158,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_136_MG3,True,0.9258262808606194,0.9501282262169075,1.0500000000000003,1.0500000000000003,9,0,0,0,0,0,0,0,4.475087324056156,4.475087324056153,6.77915443547345,6.758716910790715,0.09291861840614235,0.0,0.0241737191393806,0.0,0.0015753874686687914,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_138_MG3,True,0.9248618122285441,0.950097100815114,1.05,1.0500000000000003,9,0,0,0,0,0,0,0,4.475087324056157,4.47508732405616,6.7556831568290425,6.734546343733001,0.09603940954015355,0.0,0.025138187771455822,0.0,0.0016916896405854075,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_139_MG3,True,0.9259199112197484,0.950106152359652,1.05,1.05,9,0,0,0,0,0,0,0,4.4750873240561555,4.475087324056157,6.774247281787986,6.753190421879738,0.09310542267289157,0.0,0.024080088780251585,0.0,0.0015781338986592453,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_140_MG3,True,0.9261126941974912,0.9501075635933391,1.05,1.0500000000000003,9,0,0,0,0,0,0,0,4.475087324056162,4.4750873240561635,6.769695733220147,6.748804886854335,0.09246308492736677,0.0,0.02388730580250875,0.0,0.0015550797187385882,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_165_MG1,True,0.9266686870390417,0.9508062096019265,1.0500000000000003,1.0500000000000003,9,0,0,0,0,0,0,0,4.475087324056152,4.47508732405616,6.762278858044442,6.742938885634511,0.09252904485864666,0.0,0.02333131296095825,0.0,0.0015096427072237794,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_166_MG2,True,0.9270057723547986,0.9507274192843385,1.0500000000000003,1.05,9,0,0,0,0,0,0,0,4.475087324056161,4.4750873240561555,6.788088117414616,6.768694377074977,0.09012287405428798,0.0,0.022994227645201315,0.0,0.0014498932206122406,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_167_MG2,True,0.9269204556785804,0.9500611919951026,1.0500000000000003,1.0500000000000003,9,0,0,0,0,0,0,0,4.475087324056165,4.47508732405616,6.787453721009712,6.767494432279064,0.09003396171831102,0.0,0.023079544321419565,0.0,0.001460466376537268,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_168_MG1,True,0.926659116067112,0.9508052475378472,1.0500000000000003,1.0500000000000003,11,0,0,0,0,0,0,0,4.475087324056152,4.4750873240561555,6.763084531678426,6.743639814819921,0.09458671104462746,0.0,0.023340883932887913,0.0,0.0015159681297955557,0.0,True,True,True,5,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_170_MG1,True,0.9275773724577889,0.9508780130975033,1.0500000000000003,1.05,9,0,0,0,0,0,0,0,4.475087324056163,4.475087324056156,6.601907722879459,6.582416795659437,0.0850322501479781,0.0,0.022422627542211027,0.0,0.0013458198025035053,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_171_MG3,True,0.8068130959715369,0.9505446262509244,1.0500000000000003,1.0500000000000005,7,0,0,0,0,0,0,0,4.475087324056157,4.475087324056151,7.005124170035158,6.972855043703419,0.28998081837698353,0.0,0.143186904028463,0.0,0.03560089157388768,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_172_MG3,True,0.9167433849964332,0.9463571929793407,1.05,1.0500000000000003,9,2,0,0,0,0,0,0,4.4750873240561635,4.47508732405616,6.86143738834838,6.8394778152736935,0.090921633982599,0.006827791872043187,0.0332566150035668,0.0036428070206592222,0.0017888569688000965,2.341417149330946e-05,True,True,True,12,stopped_max_iterations_reached,17,
fed_combined_load_1p25_line_35_MG1,True,0.9264457956952802,0.9508142379294029,1.05,1.0500000000000003,9,0,0,0,0,0,0,0,4.475087324056163,4.475087324056158,6.756218270781273,6.736826856694893,0.09213881448315253,0.0,0.023554204304719772,0.0,0.0015367616671554817,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_36_MG1,True,0.9266266207473557,0.9508074364927896,1.05,1.05,11,0,0,0,0,0,0,0,4.47508732405616,4.475087324056155,6.76147759584291,6.741872979154145,0.11253350443485677,0.0,0.023373379252644266,0.0,0.0017883318082768948,0.0,True,True,True,5,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_37_MG1,True,0.9284053937475478,0.9501427079158054,1.05,1.0500000000000005,9,0,0,0,0,0,0,0,4.475087324056161,4.475087324056155,6.928801431762389,6.914544498800121,0.09797326885726265,0.0,0.02159460625245213,0.0,0.001411380164825257,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_39_MG1,True,0.9266725017012859,0.9508060073681408,1.05,1.05,9,0,0,0,0,0,0,0,4.475087324056166,4.475087324056156,6.762114966253728,6.742769252278652,0.0926787013896272,0.0,0.023327498298714056,0.0,0.001510381056711987,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_40_MG1,True,0.9265486923686989,0.9508189848267778,1.0500000000000003,1.0500000000000003,9,0,0,0,0,0,0,0,4.475087324056159,4.475087324056157,6.756988223997898,6.7377898639358405,0.09410342968104168,0.0,0.0234513076313011,0.0,0.0015376270139288444,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
